[2025-08-05T15:12:21+08:00][sql] CONNECT:[ UseTime:0.006300s ] mysql:host=124.220.1.39;port=3306;dbname=app_84000looking;charset=utf8mb4
[2025-08-05T15:12:21+08:00][sql] SHOW FULL COLUMNS FROM `sys_schedule` [ RunTime:0.004557s ]
[2025-08-05T15:12:21+08:00][sql] SELECT `id`,`addon`,`key`,`status`,`time`,`count`,`last_time`,`next_time`,`create_time`,`delete_time`,`update_time` FROM `sys_schedule` WHERE  `status` = 1 ORDER BY `id` DESC [ RunTime:0.004120s ]
[2025-08-05T15:40:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004130s ]
[2025-08-05T15:40:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004188s ]
[2025-08-05T15:41:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004181s ]
[2025-08-05T15:41:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004237s ]
[2025-08-05T15:42:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004180s ]
[2025-08-05T15:42:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004258s ]
[2025-08-05T15:43:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004154s ]
[2025-08-05T15:43:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004203s ]
[2025-08-05T15:44:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004224s ]
[2025-08-05T15:44:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004145s ]
[2025-08-05T15:45:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004162s ]
[2025-08-05T15:45:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004231s ]
[2025-08-05T15:46:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004197s ]
[2025-08-05T15:46:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004202s ]
[2025-08-05T15:47:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004165s ]
[2025-08-05T15:47:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004149s ]
[2025-08-05T15:48:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004255s ]
[2025-08-05T15:48:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004162s ]
